electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02893
0.02915,0.05867,0.02915,0.02893
0.02915,0.05867,0.02893,0.02893
0.02915,0.05867,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.05867,0.02915,0.02893,0.02893
0.05867,0.02893,0.02893,0.02893
0.05867,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.05867
0.02893,0.02893,0.02893,0.05867
0.02893,0.02893,0.02893,0.05867
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02893
0.02915,0.05867,0.02915,0.02893
0.02915,0.05867,0.02893,0.02893
0.02915,0.05867,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.05867,0.02915,0.02893,0.02893
0.05867,0.02893,0.02893,0.02893
0.05867,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.05867
0.02893,0.02893,0.02893,0.05867
0.02893,0.02893,0.02893,0.05867
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02893
0.02915,0.05867,0.02915,0.02893
0.02915,0.05867,0.02893,0.02893
0.02915,0.05867,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.05867,0.02915,0.02893,0.02893
0.05867,0.02893,0.02893,0.02893
0.05867,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02893,0.05867
0.02893,0.02893,0.02893,0.05867
0.02893,0.02893,0.02893,0.05867
0.02893,0.02893,0.02893,0.02915
0.02893,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02915
0.02915,0.02915,0.02915,0.02915
0.02915,0.05867,0.02915,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.05867,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.02915,0.02915,0.02893,0.02915
0.05867,0.02915,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.05867,0.02893,0.02893,0.05867
0.02915,0.02893,0.02893,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02915,0.02893,0.02915,0.02915
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02893,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.02915,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.05867,0.02893
0.02893,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02893
0.02915,0.02915,0.02915,0.02893
0.02915,0.05867,0.02915,0.02893
0.02915,0.05867,0.02893,0.02893
0.02915,0.05867,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.02915,0.02915,0.02893,0.02893
0.05867,0.02915,0.02893,0.02893
0.05867,0.02893,0.02893,0.02893
0.05867,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02915,0.02893,0.02893,0.02893
0.02893,0.02893,0.02893,0.02893
