a_increase,b_increase,a_decrease,b_decrease
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
15.24,-1.03,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
28.22,-1.64,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
21.16,-1.43,-23.19,0.97
28.22,-1.64,-23.19,0.97
